window,step_start,step_stop,rows,metric,mean,sem,std
early_prior_plateau,510,1000,50,diagnostic_old_latent_rms,1.581341440677643,0.0013535935195771068,0.00957135156663138
early_prior_plateau,510,1000,50,teacher_continuous_scale_raw_nrmse,0.1621346142888069,0.0007304420724567138,0.005165005426980979
early_prior_plateau,510,1000,50,teacher_continuous_scale_operator_metric,0.0012459779297932982,1.0213619037575144e-05,7.222119281925404e-05
early_prior_plateau,510,1000,50,code_target_low_boundary_fraction,0.0062496444210410115,6.104994113755246e-05,0.00043168827369402914
early_prior_plateau,510,1000,50,code_target_high_boundary_fraction,0.007832950679585338,7.301630571647832e-05,0.0005163032490931189
early_prior_plateau,510,1000,50,teacher_scale_log2_min,-9.51377450942993,0.06859085981252813,0.48501062100854486
early_prior_plateau,510,1000,50,teacher_scale_log2_max,-2.9704929971694947,0.07718470864550335,0.5457783088714336
escape_onset,1010,1500,50,loss,0.08526033788919449,0.00017933298032143515,0.0012680756647568047
escape_onset,1010,1500,50,code_ordinal_loss,0.08253618329763412,0.00015782401552570026,0.0011159843161231361
escape_onset,1010,1500,50,scale_ordinal_loss,0.002724154412280768,5.890058584422501e-05,0.0004164900366631187
escape_onset,1010,1500,50,code_accuracy,0.17086824178695678,0.00042255241395805536,0.002987896773164861
escape_onset,1010,1500,50,code_off_by_one_accuracy,0.4740356469154358,0.0007730764888189932,0.005466476276197963
escape_onset,1010,1500,50,code_mean_absolute_bin_error,1.937828025817871,0.0026843165991821257,0.01898098470133293
escape_onset,1010,1500,50,hard_decode_raw_nrmse,1.0019712269306182,0.00045197577326632616,0.0031959513420865273
escape_onset,1010,1500,50,diagnostic_old_legacy_task_loss,28.435203399658203,0.476273775436469,3.3677641631244617
escape_onset,1010,1500,50,diagnostic_old_behavioral_direction,0.9663059020042419,0.0028124548677696736,0.01988705908781051
escape_onset,1010,1500,50,diagnostic_old_structural_direction,0.9602059412002564,0.0026968863049031456,0.019069865942861454
escape_onset,1010,1500,50,behavioral_direction_alignment,0.03369409799575806,0.0028124548677696736,0.01988705908781051
escape_onset,1010,1500,50,structural_direction_alignment,0.03979405879974365,0.0026968863049031456,0.019069865942861454
escape_onset,1010,1500,50,diagnostic_old_direction_contrastive_loss,0.8614641857147217,0.009379271136991538,0.06632146223553977
escape_onset,1010,1500,50,diagnostic_old_direction_contrastive_top1_accuracy,0.47482221901416777,0.011625271439151659,0.08220308267758433
escape_onset,1010,1500,50,contrastive_chance_top1,0.394255096395351,0.004475803742862646,0.031648711778383076
escape_onset,1010,1500,50,contrastive_top1_advantage,0.08056712261881675,0.01148908957783978,0.08124013150150197
escape_onset,1010,1500,50,diagnostic_old_direction_contrastive_diagonal_similarity_mean,0.012382952584885061,0.0010319090204887517,0.007296698659551643
escape_onset,1010,1500,50,diagnostic_old_direction_contrastive_offdiagonal_similarity_mean,0.0028640417076530866,0.0006395085195888549,0.004522008108278494
escape_onset,1010,1500,50,contrastive_diagonal_minus_offdiagonal,0.009518910877231975,0.0010086385422773071,0.0071321515301039804
escape_onset,1010,1500,50,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.004857824661885388,0.0007876069683278182,0.005569222282143786
escape_onset,1010,1500,50,diagnostic_old_behavioral_scale,1.3639272272586822,0.02732666864765691,0.19322872707996022
escape_onset,1010,1500,50,diagnostic_old_structural_scale,1.2869419324398041,0.02073419194775265,0.1466128772867941
