window,step_start,step_stop,rows,metric,median,mean,p10,p90,mad
prior_plateau_510_1000,510,1000,50,contrastive_chance_top1,0.4,0.39289424412253865,0.34833333333333333,0.4291925465838509,0.025000000000000022
prior_plateau_510_1000,510,1000,50,contrastive_top1_advantage,0.045454559001055606,0.05286382086273662,-0.04545453624291856,0.16739132067431575,0.04545456406317255
prior_plateau_510_1000,510,1000,50,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.0014050374156795442,0.0015141215219227888,-0.004228700045496225,0.007727895816788078,0.002557226922363043
prior_plateau_510_1000,510,1000,50,diagnostic_old_latent_interaction_rms_ratio,0.04529056325554848,0.04501421332359314,0.037829972058534625,0.04961583763360977,0.0032859332859516144
prior_plateau_510_1000,510,1000,50,latent_interaction_rms_estimate,0.07134307239462867,0.07118664018925297,0.059972042259631354,0.07892844446683674,0.005505557365177882
prior_plateau_510_1000,510,1000,50,diagnostic_old_latent_rms,1.5806471705436707,1.581341440677643,1.5704766273498536,1.5924991965293884,0.0071446895599365234
prior_plateau_510_1000,510,1000,50,grad_norm_pre_clip,0.012332490645349026,0.014075549356639384,0.009546837396919727,0.02116620782762766,0.0026042424142360687
prior_plateau_510_1000,510,1000,50,teacher_continuous_scale_raw_nrmse,0.16223570704460144,0.1621346142888069,0.15549709647893906,0.16689535826444626,0.003338843584060669
prior_plateau_510_1000,510,1000,50,teacher_continuous_scale_operator_metric,0.0012409619521349669,0.0012459779297932982,0.001151015271898359,0.0013579130405560135,4.7450768761336803e-05
prior_plateau_510_1000,510,1000,50,steps_per_second,1.2853764620542867,1.22235162376417,1.0320827848772074,1.3633911385645305,0.08026576821831632
prior_plateau_510_1000,510,1000,50,gptq_tokenizer_seconds,0.021683053579181433,0.028675507484003902,0.02111023818142712,0.0426684688776732,0.0005940266419202089
directional_escape_3k_8k,3010,8000,500,loss,0.08476661890745163,0.08492475539445878,0.08316456079483033,0.08711269572377205,0.0008339174091815948
directional_escape_3k_8k,3010,8000,500,code_ordinal_loss,0.08259616047143936,0.0825335209518671,0.08047712296247482,0.08476897850632667,0.0009708888828754425
directional_escape_3k_8k,3010,8000,500,scale_ordinal_loss,0.002291318611241877,0.0023912343911360948,0.0019536607200279833,0.002995193377137184,0.0002554364036768675
directional_escape_3k_8k,3010,8000,500,scale_loss_fraction,0.026709951940713725,0.02818183390022785,0.02296177217361079,0.035770353144119235,0.0028998678395035036
directional_escape_3k_8k,3010,8000,500,code_accuracy,0.1692282035946846,0.1695372668504715,0.16414036154747008,0.17515944987535476,0.003066219389438629
directional_escape_3k_8k,3010,8000,500,code_off_by_one_accuracy,0.4718213230371475,0.47235549199581145,0.4617743343114853,0.48322062492370604,0.0057988762855529785
directional_escape_3k_8k,3010,8000,500,code_mean_absolute_bin_error,1.9446410536766052,1.9426783030033112,1.906278097629547,1.9800836324691773,0.01818031072616577
directional_escape_3k_8k,3010,8000,500,scale_accuracy,0.06753452867269516,0.06692390257120133,0.0580357164144516,0.07471420392394065,0.004362486302852631
directional_escape_3k_8k,3010,8000,500,scale_off_by_one_accuracy,0.19910220801830292,0.19719312492012978,0.17779018580913544,0.21443966031074524,0.008753672242164612
directional_escape_3k_8k,3010,8000,500,scale_mean_absolute_bin_error,5.525911808013916,5.626001477241516,5.104314088821411,6.317522382736207,0.26195240020751953
directional_escape_3k_8k,3010,8000,500,hard_decode_raw_nrmse,1.000720500946045,1.0010851273536683,0.9996454119682312,1.0031157612800599,0.0007100701332092285
directional_escape_3k_8k,3010,8000,500,diagnostic_old_behavioral_operator_actual,0.026515960693359375,0.027714625731110575,0.01912927646189928,0.039484670385718346,0.002711094915866852
directional_escape_3k_8k,3010,8000,500,operator_over_teacher_floor,22.080455359424754,22.629081274855853,19.734128319124363,26.09211379404782,1.6955801901529668
directional_escape_3k_8k,3010,8000,500,diagnostic_old_behavioral_direction,0.9458735585212708,0.9452608933448792,0.9190711259841919,0.9702542662620545,0.01309734582901001
directional_escape_3k_8k,3010,8000,500,diagnostic_old_structural_direction,0.9469688534736633,0.9456213930845261,0.9232179284095764,0.9669114470481872,0.011951476335525513
directional_escape_3k_8k,3010,8000,500,diagnostic_old_direction_contrastive_loss,0.7789153456687927,0.785265972495079,0.6903668999671936,0.8893902480602265,0.05003619194030762
directional_escape_3k_8k,3010,8000,500,diagnostic_old_direction_contrastive_top1_accuracy,0.6111111044883728,0.6155037999153137,0.5,0.7368420958518982,0.05555558204650879
directional_escape_3k_8k,3010,8000,500,contrastive_chance_top1,0.39009661835748793,0.3889815096219648,0.3476588628762542,0.42919254658385103,0.021675565725909007
directional_escape_3k_8k,3010,8000,500,contrastive_top1_advantage,0.2272727164355191,0.22652229029334894,0.10526316887453985,0.34782609058463054,0.060606029900637515
directional_escape_3k_8k,3010,8000,500,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.021821975708007812,0.02287682091118768,0.010740551352500917,0.035703419521451,0.0066437991335988045
directional_escape_3k_8k,3010,8000,500,diagnostic_old_latent_interaction_rms_ratio,0.3416822552680969,0.33288242277503016,0.2612059533596039,0.3869761824607849,0.027827560901641846
directional_escape_3k_8k,3010,8000,500,latent_interaction_rms_estimate,0.5417303978203485,0.5258651739488335,0.3912388087400611,0.6279190936584467,0.059011327630230426
directional_escape_3k_8k,3010,8000,500,diagnostic_old_latent_rms,1.566953957080841,1.5738050889968873,1.5034114241600036,1.653777253627777,0.049581706523895264
directional_escape_3k_8k,3010,8000,500,grad_norm_pre_clip,0.0052430781070142984,0.0055910026249475775,0.004058240167796612,0.007512214267626405,0.0007837195880711079
directional_escape_3k_8k,3010,8000,500,teacher_continuous_scale_raw_nrmse,0.16262628883123398,0.16258786687254906,0.15712588727474214,0.16813398599624635,0.003014080226421356
directional_escape_3k_8k,3010,8000,500,teacher_continuous_scale_operator_metric,0.0012124853092245758,0.0012238969025202095,0.000869679544121027,0.0016763905412517488,0.0001315759145654738
directional_escape_3k_8k,3010,8000,500,steps_per_second,1.2552729954004433,1.2595959155642449,1.1439896646034775,1.3719034613912684,0.07445601027993676
directional_escape_3k_8k,3010,8000,500,gptq_tokenizer_seconds,0.021766428370028734,0.02716774037387222,0.020897509623318912,0.032624736148864034,0.0007009254768490791
conditional_breakout_8k_17k,8010,17000,900,loss,0.08383934199810028,0.08389012952645619,0.08181909322738648,0.08601820543408394,0.000940270721912384
conditional_breakout_8k_17k,8010,17000,900,code_ordinal_loss,0.08155209198594093,0.08173936392698022,0.07996927425265313,0.08388526067137718,0.0008882805705070496
conditional_breakout_8k_17k,8010,17000,900,scale_ordinal_loss,0.002176646958105266,0.0021507655671383773,0.00159201166825369,0.0026279952609911564,0.0002566095208749175
conditional_breakout_8k_17k,8010,17000,900,scale_loss_fraction,0.025906646778619973,0.025610963104156535,0.019360288764542908,0.031025446279429793,0.0030701632209093385
conditional_breakout_8k_17k,8010,17000,900,code_accuracy,0.17036551237106323,0.17028039414021703,0.1661374881863594,0.17395875751972198,0.0019512325525283813
conditional_breakout_8k_17k,8010,17000,900,code_off_by_one_accuracy,0.47470493614673615,0.47410462230443956,0.4656956553459167,0.48096190094947816,0.003685891628265381
conditional_breakout_8k_17k,8010,17000,900,code_mean_absolute_bin_error,1.9305666089057922,1.933812948597802,1.9094974398612976,1.9657948851585387,0.013123571872711182
conditional_breakout_8k_17k,8010,17000,900,scale_accuracy,0.06917134672403336,0.07000867878397306,0.06148098036646843,0.07990469932556152,0.004486385732889175
conditional_breakout_8k_17k,8010,17000,900,scale_off_by_one_accuracy,0.20448370277881622,0.20711750759018793,0.18746639788150787,0.23133715093135834,0.010403946042060852
conditional_breakout_8k_17k,8010,17000,900,scale_mean_absolute_bin_error,5.429559946060181,5.35906065358056,4.677915620803833,5.913781309127808,0.3152792453765869
conditional_breakout_8k_17k,8010,17000,900,hard_decode_raw_nrmse,0.9950430393218994,0.9868386250072055,0.9480186581611634,1.0028431177139283,0.006576120853424072
conditional_breakout_8k_17k,8010,17000,900,diagnostic_old_behavioral_operator_actual,0.025088605470955372,0.025641519663234552,0.021222277358174325,0.03120500296354294,0.002699747681617737
conditional_breakout_8k_17k,8010,17000,900,operator_over_teacher_floor,20.426139694498296,20.588198373225968,17.779662627501782,23.599048308131557,1.3936542355586319
conditional_breakout_8k_17k,8010,17000,900,diagnostic_old_behavioral_direction,0.8889333009719849,0.8722456281714969,0.7590924322605133,0.9482198119163513,0.04040297865867615
conditional_breakout_8k_17k,8010,17000,900,diagnostic_old_structural_direction,0.9255547821521759,0.9158820984098647,0.8488440692424775,0.9590005517005921,0.02105531096458435
conditional_breakout_8k_17k,8010,17000,900,diagnostic_old_direction_contrastive_loss,0.6982458233833313,0.703375809888045,0.550660240650177,0.8613943278789521,0.07801893353462219
conditional_breakout_8k_17k,8010,17000,900,diagnostic_old_direction_contrastive_top1_accuracy,0.6666666865348816,0.6667164422406091,0.5263158082962036,0.7894737124443054,0.06666666269302368
conditional_breakout_8k_17k,8010,17000,900,contrastive_chance_top1,0.4,0.3993699471098692,0.35,0.4450000000000001,0.025000000000000022
conditional_breakout_8k_17k,8010,17000,900,contrastive_top1_advantage,0.2727272618900646,0.2673464951307398,0.14285716840199064,0.38095239514396306,0.0606060913114837
conditional_breakout_8k_17k,8010,17000,900,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.0431063286960125,0.06334817976380389,0.012586725689470769,0.15156095325946808,0.025776543654501438
conditional_breakout_8k_17k,8010,17000,900,diagnostic_old_latent_interaction_rms_ratio,0.4459470510482788,0.4496955381499396,0.3820354074239731,0.523270332813263,0.038534313440322876
conditional_breakout_8k_17k,8010,17000,900,latent_interaction_rms_estimate,0.8469465564242924,0.8753216950445968,0.6744224995718067,1.1185551528399018,0.12326345747132805
conditional_breakout_8k_17k,8010,17000,900,diagnostic_old_latent_rms,1.8900097012519836,1.9301445455021329,1.736707079410553,2.1494673252105714,0.11421209573745728
conditional_breakout_8k_17k,8010,17000,900,grad_norm_pre_clip,0.006303486414253712,0.007346583175886837,0.004320640629157424,0.011260323878377677,0.0015899569261819124
conditional_breakout_8k_17k,8010,17000,900,teacher_continuous_scale_raw_nrmse,0.16266990453004837,0.162790873232815,0.15696084052324294,0.1686263307929039,0.0030852332711219788
conditional_breakout_8k_17k,8010,17000,900,teacher_continuous_scale_operator_metric,0.001222064602188766,0.0012526609046229471,0.0010386233334429562,0.00157957726623863,0.00014920206740498543
conditional_breakout_8k_17k,8010,17000,900,steps_per_second,1.4177646754742572,1.4074227169449451,1.3031605655970573,1.4910535744005406,0.05552177514419088
conditional_breakout_8k_17k,8010,17000,900,gptq_tokenizer_seconds,0.02157526183873415,0.02470367313776579,0.020857234392315148,0.027568762516602875,0.0005655775312334299
reconstruction_growth_17k_32k,17010,32000,1500,loss,0.07989716529846191,0.07979457041124503,0.075240109115839,0.08408123701810838,0.0021716803312301636
reconstruction_growth_17k_32k,17010,32000,1500,code_ordinal_loss,0.07822801917791367,0.07807827572524548,0.07379666119813919,0.0820681631565094,0.00200657919049263
reconstruction_growth_17k_32k,17010,32000,1500,scale_ordinal_loss,0.0016086110263131559,0.0017162947204584877,0.001264041569083929,0.0023298476589843644,0.0002437922521494329
reconstruction_growth_17k_32k,17010,32000,1500,scale_loss_fraction,0.0201378194725496,0.021418583886454862,0.01634077117086542,0.028164488278990533,0.002811085687110056
reconstruction_growth_17k_32k,17010,32000,1500,code_accuracy,0.1737653687596321,0.1756959640979767,0.16728636473417283,0.18646344691514968,0.004631936550140381
reconstruction_growth_17k_32k,17010,32000,1500,code_off_by_one_accuracy,0.48348455131053925,0.4864129875302315,0.4695825487375259,0.5073624849319458,0.009948566555976868
reconstruction_growth_17k_32k,17010,32000,1500,code_mean_absolute_bin_error,1.8910702466964722,1.8846132033665974,1.816373074054718,1.9438949704170227,0.032953739166259766
reconstruction_growth_17k_32k,17010,32000,1500,scale_accuracy,0.08019255474209785,0.08098630047341188,0.06788793206214905,0.09451833143830303,0.007233042269945145
reconstruction_growth_17k_32k,17010,32000,1500,scale_off_by_one_accuracy,0.23621349036693573,0.2380221926867962,0.20438218116760254,0.27395832538604736,0.018588222563266754
reconstruction_growth_17k_32k,17010,32000,1500,scale_mean_absolute_bin_error,4.619084358215332,4.697685342311859,4.06527795791626,5.416256141662598,0.34304237365722656
reconstruction_growth_17k_32k,17010,32000,1500,hard_decode_raw_nrmse,0.9298767149448395,0.9216269719600677,0.8297170460224151,0.9941311240196228,0.03968992829322815
reconstruction_growth_17k_32k,17010,32000,1500,diagnostic_old_behavioral_operator_actual,0.020883984863758087,0.021868267949049672,0.017251786403357984,0.02778271194547415,0.0025485986843705177
reconstruction_growth_17k_32k,17010,32000,1500,operator_over_teacher_floor,16.816275339187378,17.47087686737355,14.072715932259635,21.749158969749335,1.8427659546483
reconstruction_growth_17k_32k,17010,32000,1500,diagnostic_old_behavioral_direction,0.6860477328300476,0.6925836132367452,0.5615056335926056,0.8350686132907869,0.08110716938972473
reconstruction_growth_17k_32k,17010,32000,1500,diagnostic_old_structural_direction,0.7922284007072449,0.7924820920626322,0.6889738976955414,0.8959596693515778,0.06213155388832092
reconstruction_growth_17k_32k,17010,32000,1500,diagnostic_old_direction_contrastive_loss,0.5134015083312988,0.5266648249061158,0.3508663266897202,0.7199757397174835,0.09841914474964142
reconstruction_growth_17k_32k,17010,32000,1500,diagnostic_old_direction_contrastive_top1_accuracy,0.7727273106575012,0.7642515908877054,0.6291666507720948,0.8947368264198303,0.07105264067649841
reconstruction_growth_17k_32k,17010,32000,1500,contrastive_chance_top1,0.391304347826087,0.3879518323532157,0.3333333333333333,0.4375,0.027667984189723327
reconstruction_growth_17k_32k,17010,32000,1500,contrastive_top1_advantage,0.3809523979822795,0.3762997585344898,0.22727275978435169,0.5000000368048262,0.07359306740038318
reconstruction_growth_17k_32k,17010,32000,1500,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.21093278378248215,0.2184610110829429,0.07416771277785301,0.37698230147361755,0.08930560201406479
reconstruction_growth_17k_32k,17010,32000,1500,diagnostic_old_latent_interaction_rms_ratio,0.5484453439712524,0.5487152055303256,0.5207460880279541,0.5789381265640259,0.013582319021224976
reconstruction_growth_17k_32k,17010,32000,1500,latent_interaction_rms_estimate,1.3645543813912724,1.342501324435196,1.202651074144778,1.4625585268923773,0.0801998722033872
reconstruction_growth_17k_32k,17010,32000,1500,diagnostic_old_latent_rms,2.4478650093078613,2.4450599136352538,2.2679969310760497,2.618173146247864,0.11802613735198975
reconstruction_growth_17k_32k,17010,32000,1500,grad_norm_pre_clip,0.022354712709784508,0.024961013390061754,0.012285073939710855,0.04107617735862733,0.006899668835103512
reconstruction_growth_17k_32k,17010,32000,1500,teacher_continuous_scale_raw_nrmse,0.16131176054477692,0.16194318140546482,0.1557503193616867,0.16960574835538864,0.0030997171998023987
reconstruction_growth_17k_32k,17010,32000,1500,teacher_continuous_scale_operator_metric,0.0012781823170371354,0.0012616080283963432,0.0009875846328213811,0.0014924570452421904,0.00012446643086150289
reconstruction_growth_17k_32k,17010,32000,1500,steps_per_second,1.5886552562024832,1.5822821424448803,1.5284751950965565,1.624513145033906,0.030878657585824643
reconstruction_growth_17k_32k,17010,32000,1500,gptq_tokenizer_seconds,0.021511305822059512,0.025247153629859288,0.02088423101231456,0.029541173204779628,0.0005025370046496391
late_plateau_32k_latest_complete,32010,98000,6600,loss,0.07802629843354225,0.07811902597998127,0.07328492477536201,0.08317187204957008,0.00263165682554245
late_plateau_32k_latest_complete,32010,98000,6600,code_ordinal_loss,0.0764213278889656,0.07644764642654495,0.07179293781518936,0.08116938099265099,0.002531491219997406
late_plateau_32k_latest_complete,32010,98000,6600,scale_ordinal_loss,0.001625137054361403,0.0016713795661185444,0.0012225447571836412,0.0021824607159942394,0.00024562457110732794
late_plateau_32k_latest_complete,32010,98000,6600,scale_loss_fraction,0.020965919832729173,0.02131829530819683,0.01594765747884596,0.02702235253999189,0.002902877616120016
late_plateau_32k_latest_complete,32010,98000,6600,code_accuracy,0.1776467114686966,0.1795469291733973,0.1694462776184082,0.19223181158304214,0.0056369006633758545
late_plateau_32k_latest_complete,32010,98000,6600,code_off_by_one_accuracy,0.49096350371837616,0.4935455825292703,0.47371740341186525,0.516361927986145,0.011395752429962158
late_plateau_32k_latest_complete,32010,98000,6600,code_mean_absolute_bin_error,1.8635737895965576,1.8591890531778335,1.7851498007774353,1.9277403712272645,0.038738787174224854
late_plateau_32k_latest_complete,32010,98000,6600,scale_accuracy,0.08410903811454773,0.08484568255022168,0.0706845223903656,0.10000000149011612,0.008050698786973953
late_plateau_32k_latest_complete,32010,98000,6600,scale_off_by_one_accuracy,0.24681122601032257,0.2479779209219145,0.2113466277718544,0.2855578869581223,0.020822376012802124
late_plateau_32k_latest_complete,32010,98000,6600,scale_mean_absolute_bin_error,4.5700883865356445,4.605869081200975,3.9954117059707643,5.2734565258026125,0.335620641708374
late_plateau_32k_latest_complete,32010,98000,6600,hard_decode_raw_nrmse,0.9113236665725708,0.9101204482714335,0.8320614397525787,0.9852174043655395,0.04075479507446289
late_plateau_32k_latest_complete,32010,98000,6600,diagnostic_old_behavioral_operator_actual,0.019747264683246613,0.020546077628704633,0.015689353086054326,0.02670099660754204,0.002611086703836918
late_plateau_32k_latest_complete,32010,98000,6600,operator_over_teacher_floor,16.078735074069108,16.72692938423087,13.213912729914343,21.27442079538618,1.9590104337588734
late_plateau_32k_latest_complete,32010,98000,6600,diagnostic_old_behavioral_direction,0.6533654928207397,0.6639416327937083,0.5207126200199127,0.8224670171737671,0.07969200611114502
late_plateau_32k_latest_complete,32010,98000,6600,diagnostic_old_structural_direction,0.7611580491065979,0.7667212401917487,0.6654822707176209,0.8786650657653808,0.05678296089172363
late_plateau_32k_latest_complete,32010,98000,6600,diagnostic_old_direction_contrastive_loss,0.47822967171669006,0.48926804337763424,0.30416845083236693,0.6880565822124481,0.0990004688501358
late_plateau_32k_latest_complete,32010,98000,6600,diagnostic_old_direction_contrastive_top1_accuracy,0.7777777910232544,0.7736004115279876,0.6470588445663452,0.8947368264198303,0.06432747840881348
late_plateau_32k_latest_complete,32010,98000,6600,contrastive_chance_top1,0.391304347826087,0.3924917449431263,0.3333333333333333,0.4444444444444444,0.027667984189723327
late_plateau_32k_latest_complete,32010,98000,6600,contrastive_top1_advantage,0.38095239514396306,0.3811086665848614,0.25,0.521739151166833,0.06904760485603695
late_plateau_32k_latest_complete,32010,98000,6600,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.24532309919595718,0.24655848235129132,0.08839136734604837,0.4010777831077576,0.08456738293170929
late_plateau_32k_latest_complete,32010,98000,6600,diagnostic_old_latent_interaction_rms_ratio,0.4765317738056183,0.4797758650283019,0.4403984010219574,0.5298099040985108,0.02170509099960327
late_plateau_32k_latest_complete,32010,98000,6600,latent_interaction_rms_estimate,1.5476007887579968,1.5437053350866765,1.4010232820183917,1.6809844426297693,0.07478622807625612
late_plateau_32k_latest_complete,32010,98000,6600,diagnostic_old_latent_rms,3.2542459964752197,3.2343767155661727,2.764576458930969,3.6664987564086915,0.27136361598968506
late_plateau_32k_latest_complete,32010,98000,6600,grad_norm_pre_clip,0.030271141789853573,0.032960490394299005,0.01990803461521864,0.049396256729960446,0.007012274116277695
late_plateau_32k_latest_complete,32010,98000,6600,teacher_continuous_scale_raw_nrmse,0.1631484180688858,0.16324650266405308,0.15666406750679016,0.16978100091218948,0.003584451973438263
late_plateau_32k_latest_complete,32010,98000,6600,teacher_continuous_scale_operator_metric,0.0012309974990785122,0.0012330980881145506,0.0010353283490985633,0.001448596059344709,0.00010661687701940536
late_plateau_32k_latest_complete,32010,98000,6600,steps_per_second,1.6871711636172697,1.6797634320919144,1.6520533390671106,1.7018291492341744,0.013044211369230507
late_plateau_32k_latest_complete,32010,98000,6600,gptq_tokenizer_seconds,0.021515735425055027,0.02481514544727168,0.02083967123180628,0.02809623139910401,0.0005473464261740446
latest_complete_5k,93010,98000,500,loss,0.07792346924543381,0.07812381660938263,0.07367640286684037,0.08273671641945839,0.0027425140142440796
latest_complete_5k,93010,98000,500,code_ordinal_loss,0.07620726153254509,0.07643550102412701,0.07224248424172401,0.08080546781420708,0.002616569399833679
latest_complete_5k,93010,98000,500,scale_ordinal_loss,0.001628646394237876,0.001688315589679405,0.0013209469616413116,0.0020952751627191903,0.00018244580132886767
latest_complete_5k,93010,98000,500,scale_loss_fraction,0.02084145960612392,0.021531360183361617,0.017560953824775332,0.02616696879017215,0.0020437651269758442
latest_complete_5k,93010,98000,500,code_accuracy,0.17880598455667496,0.1799208755493164,0.1702957570552826,0.1917675316333771,0.006014056503772736
latest_complete_5k,93010,98000,500,code_off_by_one_accuracy,0.49169816076755524,0.49396673530340196,0.4758134514093399,0.5155517578125,0.011022388935089111
latest_complete_5k,93010,98000,500,code_mean_absolute_bin_error,1.8619346022605896,1.8585351538658141,1.7926061272621154,1.9230404257774354,0.038084447383880615
